_id,median_max_forward,median_max_reverse,plc,time
63347f6e233402ab79d16b8b,-1,-1,17,2022-09-29T01:07:58.000Z
63347f70233402ab79d16b8f,-1,-1,8,2022-09-29T01:08:00.000Z
63347f71233402ab79d16b91,-1,-1,14,2022-09-29T01:08:00.000Z
63347f72233402ab79d16b94,-1,-1,22,2022-09-29T01:08:02.000Z
63347f72233402ab79d16b96,-1,-1,24,2022-09-29T01:08:02.000Z
63347f72233402ab79d16b98,-1,-1,25,2022-09-29T01:08:02.000Z
63347f72233402ab79d16b9a,-1,-1,28,2022-09-29T01:08:02.000Z
63347f74233402ab79d16b9f,-1,-1,37,2022-09-29T01:08:04.000Z
63347f75233402ab79d16ba1,-1,-1,38,2022-09-29T01:08:04.000Z
63347f76233402ab79d16ba5,118.5,103.5,44,2022-09-29T01:08:06.000Z
63347f77233402ab79d16ba7,-1,-1,45,2022-09-29T01:08:06.000Z
63347f77233402ab79d16ba9,-1,-1,46,2022-09-29T01:08:07.000Z
63347f78233402ab79d16bad,-1,-1,50,2022-09-29T01:08:08.000Z
63347f78233402ab79d16baf,-1,-1,51,2022-09-29T01:08:08.000Z
63347f7a233402ab79d16bb3,-1,-1,56,2022-09-29T01:08:10.000Z
63347f7a233402ab79d16bb5,-1,-1,57,2022-09-29T01:08:10.000Z
63347f7b233402ab79d16bb7,70.8,190,59,2022-09-29T01:08:10.000Z
63347f7c233402ab79d16bb9,220.8,189.2,60,2022-09-29T01:08:11.000Z
63348d7c233402ab79d16bbb,-1,-1,2,2022-09-29T02:07:56.000Z
63348d7c233402ab79d16bbd,-1,-1,4,2022-09-29T02:07:56.000Z
63348d7d233402ab79d16bbf,-1,-1,5,2022-09-29T02:07:57.000Z
63348d7d233402ab79d16bc1,-1,-1,7,2022-09-29T02:07:57.000Z
63348d7e233402ab79d16bc4,-1,-1,17,2022-09-29T02:07:58.000Z
63348d80233402ab79d16bc8,-1,-1,8,2022-09-29T02:08:00.000Z
63348d81233402ab79d16bca,-1,-1,14,2022-09-29T02:08:00.000Z
63348d82233402ab79d16bcd,-1,-1,22,2022-09-29T02:08:02.000Z
63348d82233402ab79d16bcf,-1,-1,24,2022-09-29T02:08:02.000Z
63348d82233402ab79d16bd1,-1,-1,25,2022-09-29T02:08:02.000Z
63348d82233402ab79d16bd3,-1,-1,28,2022-09-29T02:08:02.000Z
63348d84233402ab79d16bd8,-1,-1,37,2022-09-29T02:08:04.000Z
63348d84233402ab79d16bda,-1,-1,38,2022-09-29T02:08:04.000Z
63348d86233402ab79d16bde,118.5,103.5,44,2022-09-29T02:08:06.000Z
63348d86233402ab79d16be0,-1,-1,45,2022-09-29T02:08:06.000Z
63348d87233402ab79d16be2,-1,-1,46,2022-09-29T02:08:07.000Z
63348d88233402ab79d16be6,-1,-1,50,2022-09-29T02:08:08.000Z
63348d88233402ab79d16be8,-1,-1,51,2022-09-29T02:08:08.000Z
63348d8a233402ab79d16bec,-1,-1,56,2022-09-29T02:08:09.000Z
63348d8a233402ab79d16bee,-1,-1,57,2022-09-29T02:08:10.000Z
63348d8a233402ab79d16bf0,131.6,190,59,2022-09-29T02:08:10.000Z
63348d8c233402ab79d16bf2,220.8,189.2,60,2022-09-29T02:08:11.000Z
63349b8c233402ab79d16bf4,-1,-1,2,2022-09-29T03:07:56.000Z
63349b8c233402ab79d16bf6,-1,-1,4,2022-09-29T03:07:56.000Z
63349b8d233402ab79d16bf8,-1,-1,5,2022-09-29T03:07:57.000Z
